location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci,country_name
SVK,2018,21012,16366,100128978935.45361,98475043155.49915,133.98879120000018,87.83663394000014,-26.43841369591136,Slovakia
SVN,2018,21114,16366,45477585716.3396,48689910062.83984,169.23946080000036,82.08939600000001,-26.43841369591136,Slovenia
SWE,2018,21216,16366,240387657883.0243,237495480746.1598,176.69570159999958,80.49663131999998,-26.43841369591136,Sweden
SWZ,2018,21318,16366,1892660116.9188232,1727584076.996338,9.351724547999998,-58.92739920000013,-26.43841369591136,Swaziland
SYC,2018,21522,16366,1897155294.995936,1749170669.7490234,10.982819399999997,-69.46790886000005,-26.43841369591136,Seychelles
SYR,2018,21624,16366,675036313.8585815,6563729897.702637,-62.542666799999914,70.29209640000009,-26.43841369591136,Syrian Arab Republic
TCA,2018,21726,16366,20114243.756591797,469372656.21655273,72.17054268000011,-44.14836419999996,-26.43841369591136,Turks and Caicos
TCD,2018,21828,16366,938167417.0898436,792552818.5511475,-241.49648520000008,-100.95976320000025,-26.43841369591136,Chad
TGO,2018,21930,16366,1992088924.873535,11913066264.2818,-81.33044051999987,-86.15150009999981,-26.43841369591136,Togo
THA,2018,22032,16366,336115848470.8501,269130974698.92456,108.43770959999979,145.08693180000012,-26.43841369591136,Thailand
TJK,2018,22134,16366,1368784952.36438,4102026805.5388184,-110.9847821999999,-117.20279399999988,-26.43841369591136,Tajikistan
TKL,2018,21146,14356,43313586.381225586,31440280.306152344,55.14216812000005,-9.87355046000001,-25.27750739591136,Tokelau
TKM,2018,22338,16366,8467343207.595093,2406438120.4331055,-96.36081779999977,-118.0887659999997,-26.43841369591136,Turkmenistan
TLS,2018,22440,16366,60484699.173950195,478661591.7528076,-84.4234681200002,-91.46339999999994,-26.43841369591136,Timor-Leste
TON,2018,22542,16366,101407058.97680664,314063228.29333496,2.5520424479999972,-62.98112807999996,-26.43841369591136,Tonga
TTO,2018,22644,16366,10543641223.088379,8197827710.42395,-26.63434505999993,-102.67851419999977,-26.43841369591136,Trinidad and Tobago
TUN,2018,22746,16366,19164160098.317383,24262440018.74292,23.4512127,65.92009691999986,-26.43841369591136,Tunisia
TUR,2018,22848,16366,217351982335.35382,239828659707.56677,54.27512819999996,261.65970239999956,-26.43841369591136,Turkey
TUV,2018,22950,16366,23791771.6763916,86628943.39562988,-0.7901506499999986,-89.94731279999985,-26.43841369591136,Tuvalu
TWN,2018,24153,14356,362845583157.17676,260876122836.0006,193.09041160000024,119.45179460000017,-25.27750739591136,Taiwan
TZA,2018,23052,16366,4432130677.918053,11298050542.98883,-12.678188940000023,110.50842180000018,-26.43841369591136,Tanzania
UGA,2018,23154,16366,5322741837.481506,7106698513.365051,-60.73926600000011,-7.179894851999986,-26.43841369591136,Uganda
UKR,2018,23256,16366,63784583038.04706,70353244489.40918,38.66396189999999,80.09844779999997,-26.43841369591136,Ukraine
UMI,2018,22213,14356,6584235.362060547,20142439.513793945,167.79189009999993,-26.647835150000045,-25.27750739591136,United States Minor Outlying Islands
URY,2018,23460,16366,14120885426.5625,15516795904.906494,2.3508406140000058,-37.283519400000095,-26.43841369591136,Uruguay
USA,2018,23562,16366,2484656232816.451,2933616352433.2773,165.0200471999997,43.994224859999925,-26.43841369591136,United States
UZB,2018,23664,16366,14674873092.053568,22542492886.507935,-57.326743799999946,-40.26495594,-26.43841369591136,Uzbekistan
VAT,2018,22601,14356,2100720.0760498047,61626624.693603516,82.7446859999999,-33.11612688999993,-25.27750739591136,Holy See (Vatican City State)
VCT,2018,23868,16366,159068221.5209961,363794516.0536499,-32.895758879999974,-69.89064480000005,-26.43841369591136,Saint Vincent and the Grenadines
VEN,2018,24072,16366,28571834090.339237,11682810359.777466,-97.94147100000013,-117.07739519999991,-26.43841369591136,Venezuela
VGB,2018,22989,14356,203425370.70043945,1212952606.237671,97.61328249999995,6.235833179999991,-25.27750739591136,"Virgin Islands, British"
